x,y,z,count
406.516,78.1259,100.538,75
-86.0868,78.4841,-22.3298,101
-162.402,-513.137,0.154743,123
-66.9467,473.801,-284.87,88
-285.436,182.801,-376.395,88
-198.366,58.4115,329.011,82
35.8267,116.899,509.735,124
-346.488,373.844,151.529,83
93.2758,294.096,-60.1822,105
324.995,-416.364,-235.974,105
-447.355,152.585,-250.581,78
-504.996,10.2443,-65.1351,97
-216.469,-109.823,-406.557,104
498.121,-260.417,23.6401,65
61.4017,127.251,-60.6137,89
-239.71,189.445,-462.471,106
127.92,137.972,401.401,96
-270.704,-202.114,-189.671,117
-352.232,388.057,34.8546,79
-191.475,35.3502,351.03,91
-153.16,406.173,-392.976,85
-321.56,-391.379,-321.947,174
-409.101,-328.388,330.001,135
-414.47,-288.517,-158.758,72
-174.024,232.922,-354.398,98
-383.688,-179.472,109.348,84
187.366,251.668,27.2308,106
-87.78,498.142,229.279,80
-118.386,160.026,-317.539,104
115.921,-227.126,244.292,88
-382.022,235.513,102.188,89
-159.265,-66.8202,526.864,88
-412.181,135.709,83.3092,86
255.779,-169.605,-341.315,89
353.458,445.874,189.184,71
117.935,58.6303,-8.86453,94
-118.671,85.5336,496.851,94
-275.541,-549.591,7.18488,159
100.968,376.578,341.23,84
31.0405,136.168,-9.58528,94
376.462,-239.499,207.678,93
-89.5441,96.0219,562.315,104
-152.58,-63.2716,-203.643,99
-543.168,-30.0402,87.5665,89
-171.09,403.445,111.673,98
141.588,-272.844,54.3124,89
126.227,378.459,-190.349,80
394.86,123.637,-203.155,89
-407.689,41.3224,402.371,91
334.935,-511.847,-7.07839,116
434.014,164.856,-182.579,95
274.94,-52.1511,28.8946,89
-69.5327,575.247,132.074,106
103.269,-589.66,146.51,72
74.3255,-559.576,-165.528,92
258.842,-100.22,-314.752,91
146.374,-476.382,-111.057,97
-266.327,51.1757,-537.808,65
-255.917,-93.8496,-401.156,94
280.717,-139.807,-242.37,97
-426.566,-185.111,128.765,105
353.07,-281.083,220.731,109
-233.339,-372.198,-278.35,126
-219.653,379.252,400.681,118
9.04468,230.408,373.66,103
-542.256,-229.106,168.664,61
233.76,456.712,52.2138,101
41.0626,467.804,321.478,53
-52.8817,-397.552,-167.365,97
176.368,470.912,163.224,102
503.797,36.8268,175.21,134
452.923,-166.323,69.1715,83
-73.1794,-188.216,342.227,91
-418.011,14.7554,-55.7934,111
-6.62169,-119.887,386.331,79
-43.5758,-240.263,417.839,117
323.046,-388.33,-155.713,89
-220.883,-205.369,-104.628,84
364.335,-176.003,-242.075,90
-274.133,-222.895,424.216,93
-274.823,-189.775,3.00595,75
221.766,269.251,-20.4584,91
-204.137,-43.2862,-307.348,82
-200.336,-54.4336,-423.788,89
209.735,-273.434,-33.4581,92
-334.074,213.62,-287.629,107
92.4231,276.218,-222.256,81
-253.241,145.278,-298.442,85
-561.167,78.6533,-38.3997,83
174.065,340.872,459.969,81
-161.964,49.4549,253.21,87
52.3243,390.195,-3.46101,84
204.053,-240.824,-110.267,92
158.721,-54.712,305.307,111
-76.346,448.581,176.434,79
-35.1484,-364.239,312.459,94
278.249,-430.897,-154.637,95
14.8085,318.754,326.769,91
376.987,259.785,45.3291,82
341.722,82.2077,318.394,92
106.647,498.282,139.57,94
-439.443,11.7036,39.0302,98
228.11,-227.493,80.9483,100
-452.87,187.838,159.672,94
323.872,131.884,174.136,74
171.142,455.816,-123.555,105
-97.2806,205.83,50.3825,94
215.4,-119.803,-42.0305,93
-280.073,-112.332,-363.073,91
-141.394,499.458,-171.008,88
-91.4403,278.771,269.46,96
592.64,-6.25401,143.697,156
-115.695,-252.576,-12.0071,89
65.0962,157.67,-273.229,82
557.899,-97.3648,231.494,112
276.282,-206.393,-36.8112,111
121.063,-469.742,349.656,72
-155.446,144.049,384.814,101
-207.285,364.594,-177.612,119
-389.776,-365.759,204.376,103
-308.67,-395.305,181.611,105
409.071,-169.934,344.436,93
-153.412,332.623,-492.29,91
13.1085,544.479,224.767,63
-178.589,247.964,516.48,93
134.605,204.485,106.418,100
275.509,-206.284,18.784,92
374.723,3.64674,-139.539,95
-476.49,151.739,-264.435,64
-569.631,-73.6385,-30.2854,93
-47.1248,-54.0224,534.55,108
61.1759,-481.12,183.507,93
442.922,-140.806,-299.494,82
-65.7732,-90.5551,496.227,108
-46.1039,116.16,57.2535,94
-378.101,372.026,-262.005,116
412.71,324.017,187.401,84
211.182,69.3633,-277.734,88
-94.6421,14.8776,-110.815,82
-9.79541,-259.521,-151.462,86
266.711,-311.835,171.681,95
338.954,134.867,-402.53,76
229.366,-356.927,289.258,123
563.288,-95.4128,-104.117,98
-284.326,-226.266,97.611,84
-288.286,128.928,182.072,121
465.269,24.9571,36.3787,105
-255.477,-269.398,322.067,109
-370.955,-20.1947,-269.078,91
252.522,119.167,-133.763,97
-222.675,-397.648,155.361,79
-436.337,-266.764,194.895,104
371.079,-55.9707,324.246,87
92.9063,-109.773,581.004,109
-181.151,509.464,-256.976,69
-138.75,24.388,120.429,103
-294.534,185.688,-73.9262,97
-390.504,-232.84,243.684,88
-143.309,278.926,47.061,87
-56.3906,-449.993,-167.869,89
-249.176,-560.925,-54.1436,193
483.678,114.127,-222.759,97
-276.154,-133.431,170.455,82
321.805,305.077,207.462,100
-183.029,-48.8164,417.003,83
258.861,-56.2699,-308.243,108
-99.1537,272.291,385.078,105
535.662,24.1999,190.808,150
-69.3197,1.92231,571.551,90
339.444,254.108,-177.286,93
-543.366,220.28,93.0441,83
-200.35,302.814,-247.086,82
-273.409,158.219,-187.544,93
336.676,275.293,139.166,99
295.112,-376.978,58.5955,85
-374.047,409.895,170.522,83
-372.463,315.774,283.794,125
-21.5013,306.443,-222.2,96
535.217,104.129,-206.806,118
132.557,-281.075,24.1258,109
-171.704,90.5822,-489.004,88
-394.11,-184.729,20.4818,85
-36.2981,-160.755,93.6573,98
201.624,225.801,-103.183,88
-345.057,-301.159,72.4057,70
-397.318,3.86304,-126.518,85
-76.8722,443.9,-330.574,82
-37.4348,-26.7739,-31.3459,75
242.575,212.378,-407.011,95
68.4106,13.9748,-601.042,74
-337.661,-439.396,-229.018,104
-382.1,68.9385,101.264,101
-91.8591,385.618,96.2777,99
34.2528,334.572,54.1339,103
-154.545,-148.513,180.06,108
564.759,41.6793,45.5402,87
525.271,-235.536,-13.9241,50
155.45,231.605,234.199,91
-295.95,-386.059,50.9543,84
-247.644,423.21,-27.7994,106
-197.24,-370.407,-389.274,108
-217.249,-283.929,21.528,102
261.404,-431.138,273.22,113
7.64287,-105.104,471.83,112
247.039,426.069,-14.2413,88
-126.833,-305.731,515.287,96
122.058,-261.238,-353.801,100
-181.488,-204.765,532.746,80
56.5339,-334.204,241.153,93
154.554,-46.1181,-509.038,102
-319.855,-99.2284,-354.888,79
