x,y,z,count
-47.6015,-302.01,307.409,98
101.903,-281.471,-533.916,167
-166.038,-52.8794,527.803,58
145.635,-462.117,-287.551,42
116.281,365.675,-292.207,104
-128.878,183.207,568.784,63
477.044,-288.947,140.029,96
-567.645,-91.167,79.9314,93
225.387,187.017,118.922,94
109.135,230.732,-561.734,92
-501.681,130.245,-50.2546,73
-481.859,-135.369,277.225,103
146.92,358.172,-101.212,112
434.786,-118.959,189.052,112
-177.643,-123.106,-80.8823,115
127.34,-467.839,139.777,92
-179.461,-17.6912,399.184,110
61.6728,-550.533,-15.8175,98
89.4976,295.107,115.958,104
398.937,-198.588,23.6819,78
368.951,91.6763,255.808,116
-146.326,79.3145,-417.306,106
175.962,444.638,-1.94583,110
327.731,403.077,-123.883,112
24.6456,246.514,82.578,114
-294.971,361.178,-66.3267,110
11.274,355.525,57.0113,95
561.594,4.36276,188.601,105
455.677,-344.006,-193.998,55
-275.518,-337.718,-380.096,52
228.234,-360.508,68.5131,101
-174.134,-224.527,-504.295,34
-423.024,27.1167,-276.649,120
491.745,-279.923,-234.651,42
-137.507,130.117,-498.423,93
-141.382,-130.828,-569.347,66
169.287,-370.06,-447.731,58
173.289,241.242,353.425,99
-73.5913,-279.121,-47.5534,127
-374.963,-153.338,-126.276,93
89.5593,-94.427,433.97,96
-49.8477,27.3146,344.694,102
-495.059,60.9096,-181.42,92
177.132,168.816,211.466,111
173.217,-218.98,125.08,108
58.2186,-316.986,-280.961,114
9.23478,-261.467,-212.639,88
-438.073,-228.03,232.305,85
490.834,-267.965,-147.922,85
-106.643,479.304,72.0808,92
-150.88,-533.498,-47.1172,122
-60.3954,-289.976,-100.6,82
-419.492,229.826,-77.9343,86
67.0636,-595.167,65.5497,84
-68.0713,457.905,380.664,62
51.6567,1.40273,-308.194,92
35.2294,-158.72,-138.601,122
-304.853,-422.242,-223.138,55
356.152,227.959,260.71,93
-70.5946,-130.739,-408.441,112
278.854,258.721,109.942,80
326.995,-492.659,-67.0243,180
22.0308,320.485,-197.795,113
-255.266,-346.445,119.454,110
525.185,-121.919,105.177,86
108.671,-592.468,-1.47218,77
25.2778,-557.832,31.7663,87
-252.883,77.3186,412.158,118
-99.9705,-394.374,-204.444,80
102.125,397.742,340.559,62
-313.491,-265.601,-317.587,90
-334.278,-145.627,299.399,108
453.452,221.488,328.153,71
222.561,193.969,-439.202,78
52.4854,-464.203,344.313,76
143.686,280.102,123.342,100
244.019,-107.466,-436.835,73
-203.08,282.273,188.628,87
-140.413,-398.668,-249.652,65
-73.4716,223.271,140.743,110
367.052,-63.2005,132.643,95
125.716,115.766,159.018,89
-495.789,311.996,176.003,47
-387.663,209.973,-259.674,73
-232.086,104.224,-420.051,69
-320.164,-133.493,36.9367,110
-303.787,-465.706,-108.138,145
-202.821,-53.9716,278.296,109
100.796,-183.181,135.128,96
156.192,-457.533,163.183,74
-115.463,551.083,42.647,66
-101.622,-209.274,-43.5622,97
-18.6173,-427.991,-292.443,86
81.1395,72.8413,464.083,89
401.465,181.47,432.174,77
-606.007,74.8125,45.203,58
-390.45,-230.197,-69.8116,102
-542.504,150.116,135.917,91
414.932,-197.244,125.805,107
532.683,-278.696,102.489,47
43.8195,-138.235,419.876,106
-260.146,31.1374,356.643,116
36.4569,-410.093,10.6199,77
122.814,378.649,-195.485,106
95.133,-3.17808,275.04,131
25.3572,32.6297,523.093,79
-75.1632,174.22,540.175,105
-7.08833,-33.836,-11.3528,116
-42.9262,-270.096,397.581,113
-218.102,-43.4569,176.326,117
168.339,-246.169,111.709,98
-270.142,99.5427,-144.311,106
323.733,-101.747,-220.843,94
381.046,-361.344,220.229,83
292.788,86.7975,312.697,105
-90.2588,196.823,-349.082,116
-509.292,-63.6691,194.445,155
243.993,-127.859,455.866,73
-386.354,-262.516,-206.377,106
468.55,192.559,176.115,78
-291.505,-341.147,280.207,82
-137.494,34.1621,106.059,86
163.01,370.836,-357.248,73
109.733,-157.068,504.636,94
83.7251,-193.814,450.498,106
-356.766,-288.827,-37.2474,96
59.7661,-597.451,-106.127,54
278.166,319.739,-230.589,89
-265.201,121.551,415.488,58
-153.108,441.819,-148.918,128
-255.103,-131.506,-178.374,111
3.12897,490.786,299.413,73
465.281,-387.481,18.7631,77
317.914,-339.376,-62.322,89
420.707,-81.0275,57.7918,118
-397.885,-98.4326,-48.3279,78
116.326,-406.878,-148.44,108
-101.873,318.887,465.125,149
-273.677,147.186,-417.167,91
194.133,93.2836,176.07,102
-338.494,-246.009,52.8912,99
-152.818,-223.834,268.572,92
86.2264,583.901,189.897,56
319.827,-470.902,-217.666,78
337.524,245.927,-406.354,66
535.645,-219.154,156.394,83
479.38,-168.263,-122.574,94
394.344,337.799,89.4213,80
267.86,-78.6993,140.511,95
-150.717,-275.755,-280.304,112
-414.881,-311.04,-76.3004,104
326.508,152.543,272.049,82
301.018,-63.3244,-265.227,101
371.947,-102.637,-47.073,126
-14.6754,50.673,-226.15,92
-267.767,264.239,359.934,87
499.689,313.877,96.7664,76
23.6064,465.294,50.4643,87
139.419,147.102,548.077,81
17.5085,-255.907,224.176,85
-354.137,149,116.749,99
131.649,382.224,218.484,90
-67.1943,400.178,427.164,125
-141.246,499.275,-292.19,50
-79.8307,-167.672,581.239,87
-201.74,-158.352,-496.4,88
-10.9978,515.885,-12.701,106
-264.953,97.4069,307.82,74
-185.689,-219.243,48.8006,100
8.44032,-43.527,455.166,113
-403.329,403.851,-195.823,64
88.8614,-206.455,82.2144,86
20.8747,-255.127,400.11,136
-185.757,-138.546,292.714,90
-336.71,-376.856,333.955,60
-109.674,187.512,538.313,66
-0.894248,-529.901,-106.573,55
-427.047,-148.023,-67.6081,90
249.665,113.604,54.1399,99
309.621,122.793,-266.072,136
-186.864,439.535,-2.84282,118
-62.0157,233.179,174.44,109
114.384,-70.1017,-59.5726,87
-43.5672,46.9721,-351.473,120
-11.9001,-73.641,-603.819,42
