x,y,z,count
58.4446,-10.8662,-206.597,62
-415.993,-145.978,5.17228,57
35.0035,-17.572,383.957,49
77.2313,-152.757,-532.069,78
-173.393,-322.757,-409.17,57
-195.232,-117.455,-1.19438,60
173.574,215.434,-161.413,39
377.703,-28.3512,-18.4913,45
15.3534,447.673,96.958,50
173.689,-60.3083,-578.858,31
-572.649,-55.8863,110.976,52
-125.845,262.721,-501.407,78
-388.889,143.952,159.73,48
75.9641,259.298,-119.448,55
30.1933,130.187,-155.556,54
-69.0228,-298.636,124.595,55
290.817,445.822,-56.6064,103
100.188,-531.439,24.7476,55
47.2027,33.8671,269.792,55
359.403,448.866,191.945,53
-258.934,352.369,-354.389,42
-495.965,-17.1528,-153.634,74
267.771,420.501,210.042,57
256.324,45.8833,-406.044,58
-14.3,60.7025,345.675,65
-161.374,436.615,306.252,41
583.478,114.628,11.6929,28
-338.751,439.151,13.1351,106
529.398,248.87,95.1446,35
245.825,-347.355,-426.52,39
-25.2787,197.335,-212.949,45
391.235,-234.885,252.09,53
289.988,-230.592,-175.317,51
589.003,16.8169,33.5612,33
224.818,376.183,-183.436,49
-61.1722,154.671,-518.052,74
11.1549,-81.7493,191.578,53
-417.929,64.7037,-453.516,29
413.14,248.941,26.6387,61
278.363,86.0328,-0.449258,64
-448.06,-340.683,252.409,21
-84.1398,-343.962,88.3982,68
79.2178,-221.804,-520.697,70
-43.0042,63.9515,535.999,42
-285.356,-166.825,391.884,72
63.1529,-437.934,337.713,69
349.397,-364.083,346.339,32
-191.736,222.994,-521.19,57
126.761,1.68358,129.579,53
450.556,-125.194,255.342,63
131.961,12.5082,-37.7714,66
436.041,67.5062,81.5783,66
-107.315,-191.629,407.03,59
554.587,-244.422,-69.2996,29
-50.8279,-364.669,49.8529,53
-44.0334,278.485,-268.981,44
309.855,-323.683,-292.961,54
447.504,226.887,175.508,53
-233.884,-210.653,269.11,53
480.122,-0.899387,166.221,55
502.229,228.468,-250.19,46
135.091,-94.6642,-338.535,63
-60.8149,-490.551,2.52127,53
-159.008,290.865,-328.52,45
-295.109,-200.444,447.941,53
332.728,178.04,-286.109,51
39.155,267.803,496.552,157
-1.76788,398.245,-113.994,53
-215.595,-269.806,221.505,49
24.6244,-578.163,213.463,9
114.208,-401.103,88.697,57
-412.867,148.641,-48.7225,67
-422.446,364.453,-131.821,64
299.261,-146.683,63.2329,52
243.577,-194.54,30.9676,53
352.889,65.2918,-114.649,50
-288.69,8.27677,294.435,58
584.662,54.4624,59.6321,48
-1.97124,-78.1004,55.4695,47
27.7774,245.522,-490.689,112
89.5583,-397.217,191.558,49
148.383,68.7589,344.682,73
22.2905,-468.646,-343.47,49
-241.539,81.1459,173.246,52
490.022,-343.444,12.9338,41
17.7447,418.824,24.0654,37
-89.2513,-112.257,-63.029,50
-454.159,-201.019,-221.001,53
-92.7873,371.216,-58.3417,62
62.7636,-31.993,42.3281,54
-378.637,-86.7202,-173.444,62
-119.451,-223.121,421.308,50
202.875,-361.443,373.293,44
254.484,-244.924,-93.592,48
-211,222.459,-223.153,60
-73.3727,-401.402,-382.954,57
364.12,-424.956,33.5248,112
33.069,111.676,67.2334,46
80.4607,267.695,-468.225,90
-361.585,-87.1396,-36.4759,57
-66.3916,105.198,433.419,74
-272.167,289.536,-41.3424,74
-531.922,20.7718,295.74,170
134.409,-196.791,146.381,57
-136.5,-63.7633,-220.88,47
382.914,222.792,398.767,39
-106.544,-203.677,34.1394,68
-465.888,194.272,-258.396,48
182.143,87.3467,369.575,55
62.6136,271.264,-152.368,62
334.501,-436.93,-157.133,60
-247.816,-391.783,139.161,59
341.337,287.76,-272.515,44
-465.117,-25.0982,247.218,85
-416.233,-362.137,-16.3974,78
-57.7853,140.739,482.941,53
-228.447,-154.78,-427.771,51
-403.913,-355.842,-234.289,34
124.383,-263.202,220.566,53
-80.2795,191.422,-433.46,72
80.6868,-54.4913,233.863,59
226.917,-21.0217,273.073,54
-449.98,-42.361,65.9526,35
15.1147,-3.50972,125.407,64
191.196,338.947,466.349,44
100.788,27.8432,-95.5639,60
-168.508,-455.516,98.3126,65
-285.259,119.332,-90.0047,58
-374.828,-100.268,-322.61,65
409.218,-427.725,-113.882,65
141.261,104.394,-169.537,50
383.091,0.54375,310.373,84
233.95,131.838,388.814,44
-97.6375,-90.2252,397.542,51
29.9717,-364.705,-140.502,51
485.375,179.245,329.828,49
247.046,-236.59,156.447,56
-407.536,-204.741,123.93,54
-198.851,-186.738,-331.133,55
-205.222,-137.335,-53.7498,59
-285.138,-269.432,384.601,59
304.243,101.335,-515.095,41
-6.36146,-425.165,-334.421,68
243.338,152.678,203.321,55
204.711,-158.467,-178.203,60
118.481,-86.656,316.114,73
64.4926,-534.342,160.015,41
-111.649,-252.195,-504.749,61
65.3475,53.8483,-309.269,49
121.481,-322.513,-220.581,53
-71.3641,84.2718,242.252,69
343,222.959,-75.5988,57
228.356,231.232,-239.159,46
130.482,347.046,-433.818,73
200.345,22.2299,-473.442,41
-302.682,-132.435,-184.776,56
-557.099,-137.076,-57.1861,48
-278.513,72.8166,-273.018,62
138.781,-305.21,-117.508,40
-391.43,-360.136,-190.789,55
344.548,61.397,333.204,66
160.417,-136.175,389.302,57
-38.609,-220.409,561.786,114
556.872,-64.8821,-256.674,129
-17.9409,-314.933,199.311,56
-150.256,412.58,163.87,63
108.79,422.048,168.236,73
-315.839,309.32,-380.844,46
64.6096,154.744,114.935,71
-85.163,-277.984,210.829,45
36.3082,421.632,313.877,45
-510.78,-102.674,99.4327,50
331.062,-106.239,328.581,65
44.2859,298.423,448.592,102
109.882,381.568,-289.712,61
388.565,-41.744,-328.387,78
-13.3743,502.204,-229.752,53
-254.246,472.876,-83.0536,75
-235.725,-137.994,353.574,68
-387.587,-232.169,308.458,50
-38.4509,317.421,-341.35,65
-530.053,-67.3435,239.689,101
207.899,-149.355,363.996,51
